borough,total_requests,open_requests,closed_requests,backlog_rate,avg_resolution_hours,median_resolution_hours,pct_closed_within_24h,pct_closed_within_7d
STATEN ISLAND,3896,1143,2753,0.2933778234086242,19.43752463768116,3.75,0.5644250513347022,0.7358829568788501
BRONX,18634,5294,13340,0.2841043254266395,16.18658013433344,2.5,0.5931093699688741,0.7261994204142964
UNKNOWN,143,88,55,0.6153846153846154,23.61785714285714,17.066666666666666,0.27972027972027974,0.3916083916083916
BROOKLYN,31128,8818,22310,0.28328193266512464,15.408262195122031,2.3666666666666667,0.6004240555127217,0.7344834232845027
QUEENS,27879,7137,20742,0.25599913913698485,14.167406569583806,2.8666666666666667,0.6286810861221708,0.7599626959360092
MANHATTAN,18320,5490,12830,0.29967248908296945,15.946986301369867,2.216666666666667,0.5758187772925765,0.714792576419214
